latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,date
0,0.6725087,0,0,3.8583012,3.0270913,0.8485427,3.8863199,0,0,0,0,0.280451,0.2651597,0.88913935,2016-07-19
0,0.65142465,0,0,3.8183064,2.99417,0.8613518,3.862625,0,0,0,0,0.2627591,0.26621488,0.8737334,2016-07-20
0,0.62805164,0,0,3.7708082,2.961632,0.8769537,3.839976,0,0,0,0,0.23656666,0.26300502,0.8559948,2016-07-21
0,0.604612,0,0,3.7266147,2.9293754,0.89151317,3.8195345,0,0,0,0,0.21102703,0.261171,0.8385573,2016-07-22
0,0.58352447,0,0,3.6914499,2.8967519,0.9038161,3.7982764,0,0,0,0,0.19218743,0.26522508,0.82243514,2016-07-25
0,0.56483674,0,0,3.6693888,2.8675365,0.9150372,3.780093,0,0,0,0,0.18077229,0.27345902,0.8066338,2016-07-26
0,0.5454225,0,0,3.645614,2.8396206,0.92700994,3.7633603,0,0,0,0,0.16654775,0.27852237,0.788956,2016-07-27
0,0.52378225,0,0,3.6197739,2.811848,0.93938154,3.7491698,0,0,0,0,0.14439498,0.27883545,0.7662532,2016-07-28
0,0.5021434,0,0,3.587962,2.7816372,0.95175785,3.730569,0,0,0,0,0.12102772,0.27854916,0.7432093,2016-07-29
0,0.48106384,0,0,3.560504,2.7576306,0.96463156,3.719651,0,0,0,0,0.0968193,0.2743338,0.719727,2016-08-01
0,0.46008185,0,0,3.5209773,2.7214935,0.97512317,3.6915636,0,0,0,0,0.07641834,0.27487206,0.69895625,2016-08-02
0,0.4401237,0,0,3.4882843,2.6884613,0.9864056,3.6673925,0,0,0,0,0.06085086,0.2773047,0.679765,2016-08-03
0,0.42140648,0,0,3.4525957,2.6530237,0.99376637,3.6397884,0,0,0,0,0.044545636,0.2769008,0.661341,2016-08-04
0,0.40368077,0,0,3.4163306,2.6199863,1.0040811,3.6138217,0,0,0,0,0.029255211,0.27776942,0.6452096,2016-08-05
0,0.38224763,0,0,3.3788276,2.5884204,1.0201573,3.59214,0,0,0,0,0.008185402,0.2800676,0.62597954,2016-08-08
0,0.36005092,0,0,3.3324947,2.549442,1.0311445,3.5613468,0,0,0,0,0,0.27782515,0.602599,2016-08-09
0,0.34021384,0,0,3.2888145,2.509522,1.0390339,3.526834,0,0,0,0,0,0.27775738,0.5809496,2016-08-10
0,0.3195753,0,0,3.2571557,2.4732778,1.0439858,3.5005643,0,0,0,0,0,0.27759972,0.5556985,2016-08-11
0,0.3002916,0,0,3.2304783,2.4427273,1.0530716,3.4787288,0,0,0,0,0,0.2800973,0.5331379,2016-08-12
0,0.28704566,0,0,3.2149734,2.417742,1.057576,3.459267,0,0,0,0,0,0.28581646,0.51593137,2016-08-16
0,0.27596343,0,0,3.2001536,2.390846,1.0598924,3.434325,0,0,0,0,0,0.29511592,0.5018246,2016-08-17
0,0.2658528,0,0,3.1868093,2.36798,1.0639175,3.4136558,0,0,0,0,0,0.30502602,0.49062413,2016-08-18
0,0.25489584,0,0,3.1614301,2.344693,1.0718579,3.391075,0,0,0,0,0,0.30969492,0.47834224,2016-08-19
0,0.24753235,0,0,3.137414,2.3257,1.0764595,3.3712583,0,0,0,0,0,0.31047016,0.4692695,2016-08-22
0,0.24262342,0,0,3.104914,2.3043578,1.0780435,3.3455107,0,0,0,0,0,0.30871418,0.46375847,2016-08-23
0,0.23883829,0,0,3.0695982,2.2812722,1.0816675,3.3154867,0,0,0,0,0,0.3119736,0.46265936,2016-08-24
0,0.24021724,0,0,3.0438125,2.2646394,1.0872658,3.2871444,0,0,0,0,0,0.3229424,0.47057766,2016-08-25
0,0.24410735,0,0,3.0223358,2.2467694,1.0884961,3.2586172,0,0,0,0,0,0.3349751,0.48133403,2016-08-26
0,0.24813738,0,0,2.9924085,2.2238417,1.089172,3.2224991,0,0,0,0,0,0.34471643,0.49144602,2016-08-29
0,0.25217986,0,0,2.9676316,2.2093792,1.0916327,3.1981168,0,0,0,0,0,0.34888363,0.5006038,2016-08-30
0,0.25517145,0,0,2.935754,2.1923416,1.0956609,3.1723058,0,0,0,0,0,0.35182065,0.5092809,2016-08-31
0,0.25925237,0,0,2.9047523,2.1751945,1.099273,3.1460474,0,0,0,0,0,0.3559108,0.51941067,2016-09-01
0,0.2656843,0,0,2.8720126,2.1522396,1.0973537,3.1106215,0,0,0,0,0,0.36048552,0.5292432,2016-09-02
0,0.2701406,0,0,2.8362036,2.134902,1.1042036,3.0788918,0,0,0,0,0,0.36486125,0.53726494,2016-09-05
0,0.2721622,0,0,2.804361,2.1228826,1.1140999,3.052907,0,0,0,0,0,0.36911187,0.54245764,2016-09-06
0,0.2718491,0,0,2.76968,2.1132572,1.1302028,3.0287385,0,0,0,0,0,0.37341088,0.5459466,2016-09-07
0,0.2726782,0,0,2.733254,2.0992267,1.1423405,2.999221,0,0,0,0,0,0.37727937,0.550057,2016-09-08
0,0.27338415,0,0,2.6981535,2.0831099,1.1542488,2.967029,0,0,0,0,0,0.38395816,0.5547303,2016-09-09
0,0.27415287,0,0,2.672981,2.070409,1.1601613,2.9415977,0,0,0,0,0,0.3876866,0.5583868,2016-09-12
